stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell
24hpf,8.17,16.35,0,0,4.09,16.35,4.09,16.35,0,85.81,0,0
72hpf,0,0,0,1.07,0,8.56,0,0,1.07,3.21,0,1.07
22Month,0,1.64,0.55,1.09,0,0,0,0,0,0,10.93,0
