stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,1.34,0
3Month,0,0,0,0,0.32,0,0,0,0,0
22Month,4.37,0.55,1.09,17.49,0,0,0,1.64,0,0.55
