stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,102.7,0,0,0,3.21,0,0,0,0,0,0,0,0,1.07,0,11.77,0,1.07,0,3.21,2.14,0,0,3.21,0,0,0,0,0
21Day,93.7,0,1.34,0,1.34,6.69,0,4.02,0,2.68,0,1.34,0,1.34,0,26.77,0,0,0,12.05,1.34,9.37,1.34,2.68,0,1.34,1.34,0,0
3Month,0.96,0,0.32,0.32,0.64,0,0,1.6,0.32,3.84,0,1.6,0.32,0.32,0.64,0.64,0,0,34.55,2.56,0,3.84,0,0,0.32,0,0,0.64,0.32
22Month,0,0.55,0,1.64,0,0,0.55,0.55,1.64,9.29,1.09,1.09,0.55,0,0.55,0,1.09,0,0,0.55,0,0,0,0,0,0,0,0,0
