stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,44.95,0,0,0,0,32.69,192.06,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,3.21,16.05,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,13.39,0,2.68,0,1.34,0,0,0,0,2.68,9.37,2.68,0,1.34,0,18.74,0,0,8.03,0,4.02,8.03,2.68,0,0,0,4.02,0,8.03,1.34,0,1.34,0,0,2.68
3Month,0.32,21.12,1.92,166.37,0.32,0,3.2,6.4,14.08,10.88,0,23.04,184.29,1.6,9.6,1.28,4.48,13.44,24.96,3.84,0,9.6,2.24,2.88,1.28,8,0.64,0,0,5.44,0.96,336.59,2.24,0,0,18.56,80.95,68.47
22Month,0,21.87,1.64,49.2,0,0,2.19,10.39,4.37,21.32,50.84,27.33,47.01,4.37,25.69,0.55,0.55,13.67,6.01,0,2.19,8.2,0,0,0.55,9.29,1.09,7.65,0,2.19,0,190.78,1.09,1.09,0,0.55,0,31.16
