stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,24.52,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,49.04,81.73,0,0,0,0,4.09,134.85,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,3.21,7.49,4.28,7.49,2.14,0,0,0,0,0,0,0,0,0,6.42,2.14,167.96,0,0,3.21,0,20.33,34.23,0,0,0,185.07,0,0,14.98,0,2.14,0,0,0
21Day,10.71,2.68,6.69,2.68,1.34,0,0,1.34,0,1.34,0,1.34,0,1.34,6.69,2.68,214.17,0,0,18.74,0,9.37,20.08,0,1.34,0,88.34,5.35,0,2.68,4.02,2.68,0,0,6.69
3Month,0.32,1.92,9.92,0,0,0,1.28,1.6,0.64,7.04,0.32,0.32,2.24,0.32,1.92,2.24,33.59,9.6,0,2.24,0.64,0.32,0,0.32,0,0,1.6,0.32,24,0,0,0,1.28,6.08,0.32
22Month,0,2.73,4.92,0,0,1.09,0,2.73,4.92,50.84,0.55,1.09,3.83,0,1.09,1.64,33.35,0,1.64,1.09,0,0.55,0,0,0,0.55,1.09,0.55,1.64,0,0,0,0,0,0.55
