stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,4.28,2.14,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,0,0
3Month,0,0.32,1.92,0,0.32,0.32,0,5.12,0.64,0,1.92,0.96,2.24,0,1.28,0.64,0,0,0.64,0,0.64,0
22Month,1.64,0,0,0,0,0.55,2.19,4.37,0,0.55,5.47,0.55,2.19,1.09,1.09,0.55,0,0.55,0.55,1.09,0,0.55
