stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,13.91,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,1.34,1.34,0,0,1.34,0,0,0,0,0,0
3Month,0,0,0,7.36,0.32,0,0,2.24,0.64,0,4.8,1.28,81.59,0.96,0.64,0,1.92,0,0.32,0,0,0,0.64,0,0,0.64,1.28,0.32,0.32,0.32,0.96
22Month,0,0.55,0.55,3.83,0,0.55,0.55,2.73,2.73,0.55,47.56,2.19,75.44,0.55,0.55,2.73,4.92,0.55,1.64,0.55,0,0,1.09,0.55,0,0.55,0,1.64,0,0,0
