stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Muscle_cell,Neural_cell,Primordial_germ_cell
21Day,14.72,0,0,2.68,1.34,1.34,0
3Month,0,0,0.32,0,0,0.32,0.32
22Month,0,0.55,7.11,0,0,0,0
