stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,16.35,0,32.69,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,8.56,0,0,0,0,0,0,0,0,0,1.07,151.91,3.21,2.14,4.28,0,2.14,0,31.02,6.42,17.12,1.07,7.49,0,0,1.07,0,0,0,0
21Day,0,10.71,14.72,1.34,4.02,0,8.03,0,0,1.34,0,4.02,16.06,2.68,4.02,2.68,1.34,0,0,1.34,9.37,8.03,0,8.03,2.68,1.34,2.68,0,1.34,0,0,0
3Month,0.32,10.24,30.08,0,0,0.32,16,1.28,0,6.72,1.6,0,134.38,1.6,0.96,1.92,0.64,0.96,0,1.28,30.4,0.32,0,7.68,0,0.32,3.84,0,0,0,1.92,1.6
22Month,1.09,13.67,11.48,0,0,0,6.56,1.09,1.09,25.15,0,0,208.28,0,0,0.55,0.55,0,1.64,0.55,1.09,1.09,0,5.47,0,0,6.01,0.55,0,0.55,0,1.64
