stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,8.17,53.12,0,0,0,0,4.09,0,0,4.09,4.09,4.09,49.04,0,24.52,261.53,0,0,0,0,4.09,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,8.56,6.42,2.14,0,0,1.07,0,0,0
21Day,0,0,1.34,0,1.34,2.68,0,0,0,0,1.34,0,0,0,0,1.34,8.03,0,0,0,0,0,0,0
3Month,0,0,0.64,0,0,0,0.32,0,4.16,0.32,0,0.32,0,0,0.32,0,0,0,0,0.96,0,0,0.96,0.32
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0
