stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,49.04,0,0,0,0,0,0,0,0,16.35,0,0,0,0,12.26,12.26,0,0,0,0,0,0,0
72hpf,0,9.63,0,0,0,0,0,0,0,0,24.61,0,3.21,0,0,13.91,0,0,7.49,0,0,0,1.07,0
21Day,0,49.53,1.34,0,0,0,0,0,1.34,0,30.79,0,8.03,0,0,8.03,0,0,24.09,2.68,0,0,0,0
3Month,0.32,21.76,0,0.32,0.32,0.64,1.6,0.64,0,0.96,0.96,0.96,14.72,3.2,0.96,0.32,0,0.32,0.64,0.32,0.96,0.64,0,0.96
22Month,0,1.09,0,0.55,0,4.37,0.55,0,0,0,0,0.55,3.83,0,0,0,0,0,0,0,0.55,0,0,0
