stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,20.43,0,0,0,0,0,0,0,0,0,4.09,4.09,16.35,40.86,0,0,0,8.17,220.67,4.09,0,0,0,4.09,0,0
72hpf,3.21,1.07,0,2.14,0,0,0,0,0,0,0,0,0,3.21,2.14,0,8.56,1.07,0,0,18.19,35.3,7.49,0,0,1.07,1.07,0,0
21Day,14.72,2.68,0,14.72,9.37,0,2.68,0,0,0,1.34,13.39,1.34,0,2.68,2.68,24.09,0,1.34,0,13.39,28.11,8.03,0,0,4.02,0,0,1.34
3Month,0,0,0.32,0.96,0,0,0.32,0.32,0.96,2.56,0.32,0.32,0.64,0,0.32,0.96,0.96,0,0.32,0.32,0,0,0,0.32,8.64,0,0,3.2,2.88
22Month,0,1.64,1.09,2.19,0,0.55,0,0,5.47,21.87,1.64,2.73,2.73,0,0.55,2.73,1.64,1.09,0.55,0,0,0,0,0,4.92,0,0,0,1.64
