stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,1.07,1.07,0,0,26.74,3.21,1.07,0,0,0,0
21Day,1.34,6.69,2.68,1.34,0,0,0,2.68,0,0,2.68,4.02,1.34,5.35,2.68,1.34,1.34,1.34,1.34,0
3Month,0,0,0,0.32,0,0,0,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0
22Month,0,0,0,3.28,1.64,6.01,1.09,0,1.64,0.55,0.55,0,0,0,0,0,0,0,0,0.55
