stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,4.28,0,1.07,12.84,5.35,0,1.07,0,0,2.14,1.07,0
21Day,0,2.68,1.34,0,0,1.34,0,0,1.34,1.34,0,0,1.34,0,0,0,0
3Month,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0.64,0,0,0.32
22Month,0,0,0,1.09,0,0,0,0,0,0,0.55,0,0,0,0,0,0
