stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,1.07,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,2.68,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,1.34
3Month,0,0,3.84,0,0.64,0.96,0.32,4.16,1.28,0,1.6,0,0.32,0.64,1.28,0.32,0,0.32,0.32,0,0.32,0,0.32,4.48
22Month,0.55,1.09,2.19,1.64,0,17.49,1.64,26.24,11.48,1.64,0,0.55,1.64,3.83,11.48,2.19,0.55,1.09,0,0,0,0.55,0,2.73
