stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,0,0,4.09,4.09,0,4.09,8.17,0,0,0,0
72hpf,0,0,0,0,0,2.14,0,0,1.07,0,0,0,0,0
21Day,0,0,0,1.34,0,1.34,1.34,0,0,1.34,1.34,0,0,0
3Month,1.92,0.32,0.32,0.32,0.64,0.64,0,0.32,0,0,0.32,5.44,0.32,1.92
22Month,0,0,0.55,0,0,0,0,0,0,0,0,7.11,0,0.55
