stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,0,20.33,1.07,3614.82,0,3.21,0,0,0,0,0,0,0,2.14,16.05,4.28,10.7,0,0,87.72,34.23,2.14,1.07,10.7,1.07,0,4.28,0,3.21,0,0,0
21Day,14.72,0,2.68,36.14,4.02,4298.03,0,562.18,0,1.34,1.34,13.39,1.34,8.03,2.68,1.34,25.43,13.39,32.12,0,2.68,44.17,21.42,0,4.02,20.08,77.63,1.34,2.68,4.02,33.46,0,0,4.02
3Month,0,0,0,0.32,0,0,33.27,4.16,0.32,0.64,0,1.6,0.32,0,0.64,0.64,0.32,1.28,1.6,0,0,0,0,0,0,0,0,2.56,0,0,0,0.32,0.32,0
22Month,0,1.09,0.55,2.73,0.55,0,44.83,2.73,1.64,2.73,0,15.85,3.28,0.55,0.55,0.55,1.64,3.28,3.83,1.09,2.73,0.55,0,1.09,1.64,0,0,0,0,0,0,0,0,1.64
