stage,Endothelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Primordial_germ_cell
3Month,0,0,0,0,0.32,1.28,0,0.32,0.32,0
22Month,0.55,0.55,0.55,4.92,0.55,0,1.64,0,0,0.55
