stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,25.67,3.21,1.07,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06,2.68,2.68,0,0,1.34,0,0,1.34
3Month,0,0.32,0.32,3.52,0.64,0,0,0.32,0,0,3.2,0.64,1.28,0,1.6,0,1.28,0.64,0,0.32,0.64,0.64,0.32,11.52,3.84,0.32,0.32,1.28,2.24,0
22Month,0,1.09,0.55,4.92,0,0,0.55,0,1.09,1.09,63.96,0,6.56,0.55,0.55,1.64,1.09,0,2.19,0,0.55,2.19,0,16.4,1.09,1.09,0.55,1.09,0,0
