stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0
21Day,0,5.35,0,0,0,0,2.68,0,0,0,0,0,0
3Month,0,0,0.32,0,0,0.32,0,0.32,0,0,0,0,0.64
22Month,0.55,1.09,0,2.19,1.64,0,0,0.55,0.55,0.55,0,0.55,0
