stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,4.09,0,4.09,0,44.95,0,0,0
72hpf,0,0,0,25.67,1.07,1.07,0,2.14
21Day,1.34,2.68,0,13.39,0,0,1.34,0
