stage,Erythrocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Retinal_cone_cell
72hpf,2.14,0,0,0,1.07,0,0,0
21Day,1.34,0,0,1.34,12.05,4.02,1.34,1.34
3Month,0,0.32,0,0,4.16,1.6,0,0
22Month,0,1.64,1.09,1.09,2.19,2.73,0,0
