stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,0,0,0,1.07,21.4,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,0,22.76,1.34,0,0,0,0,0,0,0,1.34,0,24.09,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,0,27.2,0,0.64,0,8,0,0,16.32,0.32,6.72,1.92,5.12,0.96,1.28,0,5.76,1.28,1.28,0,1.6,0.64,1.92,0,0.32,1.28
22Month,0,0,1.09,6.56,0,0,0.55,1.64,0.55,0.55,37.72,0,5.47,2.19,1.09,0,2.73,0.55,1.64,0,0.55,0,0.55,0,0.55,0.55,0,0.55
