stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,7.49,0,0,0,23.54,13.91,0,4.28,0,0,0,1.07,0,0,0
21Day,1.34,2.68,0,8.03,1.34,0,0,0,0,2.68,0,1.34,1.34,0,5.35,0,5.35,0,0,0,12.05,6.69,0,0,0,0,0,1.34,0,0,2.68
3Month,0,3.2,0.32,2.88,0,0.32,1.28,0.32,0,7.36,1.6,0,2.24,1.28,0.96,0.32,1.92,0,0.32,0.32,0.32,0,0.96,0,0,0.96,0,0,0.64,0.64,0
22Month,0,0.55,0.55,3.83,0,0,0,0,2.19,25.69,0.55,0,2.73,0,1.64,1.09,2.19,1.09,0,0,0,0,0.55,0.55,0.55,0,0.55,0,0,0,0.55
