stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,16.35,73.56,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,4.28,1.07,0,0,0,0,0,0,0,0,0,0,3.21,0,12.84,0,0,0,0,46,8.56,0,1.07,4.28,0,0,1.07,0,0
21Day,2.68,0,0,4.02,2.68,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,0,6.69,0,0,4.02,0,28.11,2.68,0,0,4.02,0,0,0,0,1.34
3Month,0.32,0.96,0.32,15.04,1.28,0,0.32,0.32,1.92,0.96,0,6.72,1.28,0.96,2.24,3.84,0.96,0.64,2.56,0.96,0.32,1.6,0.96,1.6,0,1.6,0,0,0.32,1.92,0.32,28.48,0
22Month,0,0,0,4.92,0,0,0,0,0,0,1.09,2.19,0,0,1.64,0,0,0,0,0,0,0,0,0.55,0,0.55,0,0,0,1.09,0,0,0
