stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,16.35,0,0,0,0,0,0,0
72hpf,0,0,2.14,3.21,0,0,0,0,0,6.42,0,3.21,387.26,7.49,0,3.21,3.21,0,4.28,1.07,0
21Day,1.34,0,4.02,5.35,1.34,0,0,1.34,1.34,1.34,1.34,2.68,218.18,2.68,2.68,4.02,0,5.35,0,2.68,0
3Month,0,0,0.96,0,0.32,1.92,0.96,0,0.64,0.64,0,0.64,0.64,0,0,0,0,0,0,0,0.32
22Month,0,0.55,0.55,0,0,1.64,0,0,0.55,0,0,1.09,0,0,0.55,0,0,0,0,0,0
