stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,408.64,8.17,0,0,8.17
72hpf,1.07,1.07,1.07,0,0,0,1.07,0,1.07,3.21,6.42,2.14,0,1.07,136.93,6.42,1.07,3.21,113.4
21Day,1.34,2.68,5.35,1.34,0,0,0,0,0,2.68,0,5.35,0,0,13.39,0,0,2.68,18.74
3Month,0,0.32,0,0,0.96,0.32,0,0,0.32,0,1.92,0.64,0.32,0,1.28,0,0,0,2.56
22Month,0,0,0,0,1.64,1.09,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0
