stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0
21Day,0,0,5.35,0,5.35,0,0,0,0,0,0,0,0,1.34,1.34,0,0,1.34
3Month,0.64,0,6.08,0,0,0,0.32,0.32,0,0.32,2.56,3.2,0,1.6,0,0,0.32,0.96
22Month,0.55,0.55,9.84,0,0,0.55,0,0,2.73,0,3.83,0.55,0.55,5.47,0,0,0,0.55
