stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,5.35,3.21,0,0,1.07,0,2.14,0,0
21Day,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,1.34,2.68,0,2.68,0,1.34,1.34,0,0,0
3Month,0,3.52,0,0.32,0.32,0.32,0,1.28,0.32,0,1.28,0.32,0.32,0.32,0.32,0.64,0,0.64,0,0,1.28,0,0,0,3.2,0.32
22Month,0.55,0,0,0,0,0.55,1.09,4.37,0.55,0,0,0,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0,0
