stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell
24hpf,0,0,4.09,0,0,0,0,0,0,4.09,12.26,0,0,44.95,0,0
72hpf,2.14,1.07,2.14,1.07,0,0,0,1.07,2.14,0,0,1.07,5.35,5.35,2.14,1.07
21Day,0,0,1.34,0,0,1.34,0,0,2.68,0,4.02,0,1.34,0,4.02,0
3Month,0,0,0.32,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0
