stage,Cardiomyocyte,Epithelial_cell__Brain_,Granulosa_cell,Hepatocyte,Immune_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
72hpf,1.07,1.07,0,0,0,0,0,1.07,2.14,0,0,4.28,0
21Day,0,0,0,0,0,0,0,0,1.34,1.34,0,0,1.34
3Month,0,0,0,0,0.32,0.32,0.32,0,0,0,0.32,0,0
22Month,0,0,0.55,2.73,0,0,0,0,0,0,0,0,0
