stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,12.84,0,0,0,0,4.28,1.07,0
21Day,1.34,0,0,0,0,0,0,0,0,10.71,0,1.34,0,1.34,10.71,29.45,1.34
3Month,0,0.64,0.64,0,3.52,0.32,0.32,0.64,0,0,0,0,0,0,0,0,0.96
22Month,0,0.55,0,0,1.64,0.55,0,0,0,0,0,0,0.55,0,0,0,0
