stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,3.21,0,17.12,0,1.07,0,4.28,0,0,0,0,18.19,0,0,0,0,0
21Day,1.34,0,0,2.68,0,0,0,0,0,0,1.34,0,1.34,0,0,4.02,0,42.83,0,0,1.34,4.02,1.34,0,0,0,2.68,0,1.34,0,0,0
3Month,0,1.28,0,5.76,0,3.84,0.96,2.24,0.96,0,9.92,1.28,0,1.6,0.64,1.28,2.24,48.63,19.2,0,2.56,0,0,1.28,0.32,0,0,0,0.64,31.67,1.28,0.32
22Month,0,2.73,0.55,9.29,0,0.55,0.55,0,0.55,0,18.04,0.55,0,1.09,0.55,0,0.55,30.07,0.55,0,1.09,0,0,1.09,0,1.09,0.55,1.09,0.55,17.49,0,0.55
