stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,4.28,2.14,0,0,0,0,0,0,0,0,0,0,0,0,6.42,2.14,2.14,0,0,0,0,36.37,11.77,2.14,0,3.21,0,0,4.28,0,0,0,0
21Day,0,0,46.85,0,2.68,0,1.34,0,0,0,1.34,6.69,0,4.02,1.34,0,13.39,2.68,2.68,0,0,0,0,18.74,9.37,4.02,0,1.34,4.02,0,0,2.68,0,0,5.35
3Month,0,0,69.43,0.64,0,0,0,0.32,1.28,2.88,0,57.27,0.64,0.32,6.4,0.64,34.87,9.28,2.88,0.32,0,0,0.32,0,0,0.32,0,0,1.28,0.32,0,0,0.32,0.64,5.12
22Month,0.55,2.19,20.77,0,0,0.55,0,0,1.64,5.47,12.57,118.62,1.09,0.55,8.2,0,9.29,8.2,3.28,0,1.09,0.55,0,2.19,0.55,0,1.09,0.55,0.55,1.64,0,0,0.55,0,2.73
