stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,62.05,1.07,3.21,0,0,0,0,13.91,9.63,0,2.14,0,0,5.35,0,0,0,0
21Day,1.34,0,0,21.42,0,5.35,0,0,0,0,0,0,5.35,0,0,22.76,1.34,16.06,0,0,0,0,1.34,1.34,0,1.34,1.34,1.34,2.68,1.34,0,0,1.34
3Month,0,0.96,0,66.55,0.32,0,0.64,0.64,2.24,0,8.96,2.24,1.28,4.16,3.84,1.6,0.64,4.8,0.96,0.32,5.76,0.96,1.28,0,0.64,0.32,0.64,19.84,0.32,0,0.32,3.52,1.28
22Month,0,2.19,0.55,18.59,0,0,0,0,2.19,2.19,22.41,0.55,0,2.73,1.64,0,4.37,8.2,0,0,3.28,0.55,0.55,0.55,0.55,0,0,7.11,2.19,0,0,0,0
