stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,4.02,0,0,0,0
3Month,0.32,4.48,0,0.32,0.32,0.96,0,6.4,1.6,0.32,3.52,0.64,0.96,0.96,2.88,0.32,0.32,5.44,0,0.96,0,3.2,285.39,0.32,0.96,127.34,1.6
22Month,0,1.09,0,0,0.55,0,1.64,6.56,0.55,1.64,1.09,0,0,0,0,0,0,0.55,0,0.55,6.56,0,44.83,0.55,0,0.55,0.55
