stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,12.26,0,0,0,0,0,20.43,8.17,0,0,0,0,16.35,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,1.07,1.07,0,0,0,10.7,0,0,0,0,0,0,2.14,0,0,0,0,41.72,6.42,0,59.91,2.14,0,0,5.35,0,0,0,0,0
21Day,1.34,1.34,0,4.02,0,2.68,0,1.34,0,0,2.68,0,0,1.34,4.02,0,9.37,0,0,0,0,14.72,2.68,1.34,291.8,5.35,1.34,0,5.35,0,1.34,1.34,0,2.68
3Month,0,0.64,0.32,5.44,0.32,0,0,0,0.32,1.28,7.68,3.2,1.28,0.96,4.8,1.6,2.88,0.64,0,0.96,2.88,0.32,0,0.32,424.89,0,0.32,3.2,0.64,0,0,0,1.6,0.64
22Month,0,0,0,1.09,0,0,1.09,0,1.09,2.73,29.52,2.19,0.55,0,0.55,2.19,4.92,0,1.09,0,0,0,0,0.55,415.46,0,0,4.92,10.93,0.55,0,0,0,0.55
