stage,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0
21Day,0,1.34,1.34,0,0,0,0,0,1.34,0,9.37,0
3Month,0.32,1.6,0,3.2,0.32,0.96,0.64,0.32,13.44,0.32,0,0.32
22Month,0,0,0,3.28,0.55,0,0,0,1.64,0.55,0,0
