stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,4.09,8.17,0,0,0,4.09,281.96,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,9.63,5.35,0,16.05,10.7,5.35,0,0,0,0,0,0,0,0,0,0,5.35,33.16,4.28,31.02,1.07,1.07,0,312.38,171.17,2.14,3.21,24.61,0,0,24.61,1.07,2.14,0,0,0,0
21Day,16.06,1.34,5.35,36.14,1.34,9.37,0,2.68,0,0,4.02,0,1.34,2.68,12.05,1.34,6.69,17.4,17.4,69.6,0,8.03,0,141.88,89.68,1.34,2.68,28.11,2.68,0,12.05,4.02,8.03,2.68,0,0,4.02
3Month,0,0.64,0.32,15.36,0,0,0,0.64,0,2.24,3.2,0,8.32,2.24,0.32,3.52,0.96,5.44,8.96,4.48,0.32,0.32,1.28,0.64,0.32,0.64,0.32,0.32,0.32,2.56,0,0,0,0,0.96,0.96,2.24
22Month,0,1.09,0.55,9.29,0.55,0,0.55,0,0.55,0,4.37,4.92,66.15,1.09,4.37,4.92,0,1.64,11.48,7.65,1.09,0.55,0,0.55,0.55,1.09,1.09,0,0.55,3.83,0.55,0.55,0,0,0.55,0,2.19
