stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,1.07,0,0,0,0,0,0,3.21,0,0
21Day,0,1.34,0,1.34,0,1.34,4.02,1.34,1.34,0
3Month,0,0,0.32,0,0.64,0,0,0,0,1.28
