stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,5.35,1.07,2.14,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0.64,1.6,0.32,0,0,0,0.32,0,0,0,0.32
22Month,0,0.55,3.83,0,1.64,0.55,1.09,0,0,0,0,0
