stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,0,0,0,0,0,0,2.14,2.14,81.3,0,0,124.1,19.26,0,32.09,0,2.14,0,0,0,0
21Day,1.34,1.34,4.02,0,0,0,0,0,0,1.34,1.34,70.94,0,0,33.46,6.69,0,57.56,0,0,1.34,0,0,0
3Month,0,0.96,0,2.88,1.92,5.44,1.28,0.64,1.28,0.32,3.84,40.31,24.96,0.32,1.6,0.64,0,0,2.88,0,0,0.64,0.64,0.32
22Month,0,0,0,0,1.09,3.28,0,0.55,0,0,0,8.2,0,0,0,0,0.55,0,0,0,0,0,0,0
