stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,0,0,0,0,0,0,0,3.21,0,0,72.75,3.21,0,1.07,0,0,0,0,0,0,0
21Day,4.02,0,0,0,0,0,0,1.34,1.34,0,4.02,0,8.03,17.4,4.02,0,1.34,1.34,0,0,0,0,0,0
3Month,1.92,0,0.64,6.08,0.32,0,0.96,0.32,0.96,0,1.28,0.32,0.32,2.24,0,1.28,0,0,0.32,12.8,0,0.32,71.67,0.32
22Month,0,0,2.73,9.84,0,0.55,0.55,0,0.55,0.55,0.55,0,1.64,1.09,0,2.73,0,0.55,0,3.28,1.09,0,0,0.55
