stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0
21Day,17.4,1.34,1.34,40.16,17.4,13.39,4.02,1.34,588.95,9.37,18.74,18.74,17.4,10.71,1.34,60.23,10.71,10.71,16.06,4.02,6.69,9.37,2.68,12.05
22Month,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0
