stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,16.35,4.09,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,3.21,0,2.14,4.28,2.14,1.07,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,1.34
3Month,0,0,0,0.64,0.32,0.32,0,0.32,0,0.32,0,0,1.28,11.52,0.32
22Month,0,0,0.55,1.09,0,0,0,0.55,0,0,0,0,0.55,0,0
