stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,49.04,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,12.26,65.38,0,0,77.64,0,0,0,0,0,0,0,0,0
72hpf,21.4,1.07,35.3,111.26,23.54,0,0,0,0,0,0,0,1.07,0,8.56,38.51,4.28,26.74,0,0,85.58,42.79,1.07,0,4945.64,2.14,1.07,7.49,1.07,0,1.07,0,0,0
21Day,4.02,0,21.42,22.76,17.4,1.34,0,0,0,0,0,0,0,1.34,0,8.03,4.02,34.8,0,1.34,10.71,4.02,0,0,922.25,6.69,0,0,4.02,2.68,0,0,0,1.34
3Month,0,0.32,5.44,3.52,0,0,0.64,0.32,1.92,0,3.52,1.6,0,1.6,0.64,7.04,2.24,17.92,24,0.96,0.32,0,0.64,0.96,16,0.32,21.44,0,0,0,0,0.96,6.08,1.28
22Month,0,0,1.09,0,0,0,0,0,0.55,1.09,9.84,1.09,0,0,0,0,0.55,3.83,0.55,0,0,0,1.09,0,1.64,0.55,9.29,0,0,0,0,0,0,0
