stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,1.07,1.07,0,0
21Day,1.34,0,1.34,1.34,0,0,1.34,0,0,0,1.34,0,0,0,1.34,1.34,0,0,0
3Month,0,0,2.24,0,0.32,0,0,0.32,2.56,0.32,0.64,0.32,0,0.32,0,0,0,0.96,0.32
22Month,0,0.55,0.55,0,0,0.55,0,1.64,4.92,0,0,0.55,0.55,0,0,0,0,0,0
