stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,2.14,9.63,2.14,0,0,0,0,0,0,1.07,0,1.07,9.63,1.07,4.28,0,1.07,0,574.48,17.12,0,1.07,0,6.42,0,0,8.56,0,0,1.07,0,0,0
21Day,5.35,0,9.37,1.34,8.03,2.68,0,0,0,4.02,1.34,1.34,4.02,0,8.03,4.02,24.09,0,5.35,0,317.23,9.37,6.69,2.68,0,5.35,10.71,6.69,0,2.68,2.68,1.34,0,0,2.68
3Month,0,6.4,6.08,4.48,0,0,0.32,0.64,1.92,13.12,2.24,0,3.52,1.92,1.6,1.28,2.56,0.96,0.64,1.28,29.12,0.64,1.28,1.92,0,0,0.64,103.98,0.32,0,0,0,51.83,13.44,1.28
22Month,0,0,4.37,0.55,0,0.55,0,0.55,4.37,47.56,0.55,1.09,7.11,0.55,2.19,2.73,8.2,0.55,0.55,0,27.33,0,2.19,14.76,0.55,0,0.55,37.72,0.55,0,0,0,1.64,0,0
