stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,12.26,0,0,0,0,85.81,0,0,0,0,0,0,0,1769.41,4.09,0,0,0,0,4.09,16.35,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,16.05,1.07,0,5.35,1.07,43.86,0,26.74,0,0,1019.51,0,0,0,5.35,0,0,17.12,4.28,4.28,0,0,0,0,34.23,27.81,0,2.14,0,11.77,1.07,0,0,0,0,0,0,0
21Day,20.08,0,2.68,41.49,2.68,40.16,0,6.69,0,1.34,1848.51,0,1.34,0,53.54,1.34,6.69,21.42,24.09,25.43,0,0,2.68,1.34,33.46,8.03,0,1.34,0,9.37,24.09,0,2.68,1.34,8.03,0,0,4.02
3Month,4.16,10.88,10.88,75.19,1.28,0,32.63,1.6,0.32,192.61,5658.3,0,75.51,37.43,4.48,53.11,7.68,24,47.67,29.44,5.76,0.32,10.24,18.88,4.48,0.64,3.84,2.24,0,0,42.87,38.07,2.56,0,0,11.52,29.76,20.16
22Month,5.47,37.17,145.96,389.76,1.09,0,126.82,2.73,0.55,214.29,18842.09,14.21,254.19,45.92,32.25,54.12,6.56,7.65,133.93,49.75,0.55,18.59,8.2,1.09,17.49,0.55,11.48,13.67,10.39,6.01,10.39,6.01,18.04,16.95,0,4.37,0,24.05
