stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,16.35,0,0,16.35,151.2,0,0,4.09,0,0,0,0,0,0
72hpf,0,2.14,0,5.35,3.21,0,0,0,0,1.07,0,3.21,4.28,0,13.91,0,1.07,60.98,23.54,0,1.07,5.35,0,0,4.28,1.07,0,0
21Day,2.68,0,0,9.37,8.03,4.02,0,0,0,1.34,0,0,4.02,1.34,5.35,0,0,13.39,16.06,0,0,4.02,1.34,1.34,0,1.34,0,1.34
3Month,0,0.32,0.32,1.6,0,0,0,0,0.64,0,0.32,0,0.96,0,1.28,0.32,0,0,0,0,0,0,0,0.64,0,0,0.32,0.32
22Month,0,0.55,0,0.55,0,0.55,0.55,0.55,0.55,0.55,0.55,0,0,0.55,3.28,0,0.55,0,0,0.55,0,0,0,0.55,0,0,0,0
