stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,24.52,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,2.14,0,0,0,0,0,0,1.07,0,3.21,2.14,0,5.35,0,0,0,0,41.72,9.63,0,0,7.49,0,0,4.28,0,0,0
21Day,0,0,0,12.05,1.34,2.68,0,0,0,0,2.68,0,2.68,2.68,1.34,1.34,0,4.02,0,0,2.68,0,25.43,6.69,1.34,0,8.03,0,0,2.68,0,0,1.34
3Month,0,0.96,0.64,7.04,0,0,0,0.64,2.56,0,45.43,0.32,0,7.36,0.32,0.96,1.28,1.92,1.28,0.32,0.96,3.84,0,0.32,0.64,0.64,0,0.96,0.64,0,0.96,1.28,1.6
22Month,0,1.09,1.09,4.37,0,0,0.55,0,1.64,1.64,90.74,0.55,0,7.11,0.55,0,0.55,1.09,0,6.56,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,0.55
