stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,1.07,0,1.07,31.02,2.14,0,0,0,0,0,0,0,1.07,6.42,0,12.84,0,0,1.07,356.24,8.56,0,2.14,24.61,0,0,2.14,4.28,14.98,0,0
21Day,1.34,0,0,4.02,1.34,1.34,0,0,0,1.34,0,2.68,0,0,2.68,1.34,30.79,0,0,1.34,84.33,4.02,0,1.34,6.69,4.02,2.68,0,0,40.16,0,0
3Month,0.32,0,0.32,0.32,0.32,0,0.64,0.32,0.32,4.16,0.32,0.32,2.24,0,0.64,0.64,4.48,3.2,0,0.96,0.64,0,1.28,0,0.32,0,37.75,0,0,0.32,1.6,0.32
22Month,0,0,0,0,0,0,0,0,0,4.37,0.55,0,0.55,0,0,0,0,0.55,0.55,0,0,0,0.55,0,0.55,0,17.49,0,0,0,0,0
