stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,44.95,0,0,0,0,0,0,0,0,0,0,0,8.17,0,44.95,0,0,12.26,580.27,0,0,0,0,0,4.09,0,0,8.17,0,0
72hpf,2.14,1.07,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,6.42,0,20.33,0,1.07,35.3,49.21,1.07,0,7.49,0,0,12.84,0,0,0,0,0
21Day,0,0,4.02,0,0,1.34,0,0,0,1.34,0,0,0,0,1.34,0,10.71,0,1.34,10.71,8.03,0,0,6.69,1.34,1.34,5.35,0,2.68,0,0,0
3Month,0,0,0,0,0,0,0.32,0,0,2.88,0,0,0.32,0.64,0,0.32,3.84,0.32,0.32,0,0,0,0.32,0,0.64,2.88,0,0,0,0,0.32,0.32
22Month,0,0.55,1.64,0,0,0,0,1.09,1.64,9.29,0.55,0.55,0.55,0.55,0,0.55,14.21,0,0.55,0,0,1.09,2.73,0,0,2.73,1.09,0.55,0,0,0,0.55
