stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,16.35,0,0,4.09,4.09,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,37.44,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,5.35,4.28,0,4.28,1.07,0,4.28,110.19,7.49,5.35,0,0,0,2.14,0,0,0,0,0
21Day,29.45,0,1.34,12.05,2.68,0,1.34,0,0,0,0,1.34,0,1.34,9.37,0,2.68,1.34,14.72,0,10.71,0,87,6.69,6.69,5.35,2.68,0,4.02,1.34,2.68,0,0,0
3Month,1.28,0.32,0.64,3.52,0,0.32,0,1.28,0.32,0,0,9.28,1.28,0,20.48,0.32,0.96,0.96,0.96,0,0.96,4.48,1.28,0,4.16,0.32,0.32,2.56,0,0,0,0,1.28,0.96
22Month,0.55,1.09,0.55,2.73,0,0,0.55,2.19,2.73,3.83,0,90.2,1.09,2.73,25.15,0,0.55,2.73,5.47,3.28,1.09,0,0,0,2.73,0,0.55,0.55,0.55,0.55,0,0.55,0,0.55
