stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,4.09,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,4.28,3.21,0,0,0,0,0,0,0,0,3.21,2.14,10.7,5.35,0,0,0,2.14,94.14,68.47,1.07,0,0,51.35,0,0,1.07,0,5.35,0,0,0
21Day,6.69,0,2.68,45.51,0,1.34,1.34,0,0,18.74,0,1.34,0,2.68,16.06,5.35,16.06,0,0,2.68,1.34,307.86,41.49,5.35,40.16,0,28.11,8.03,0,62.91,0,0,0,0,1.34
3Month,0,0.32,0.32,35.51,0.64,0,0,1.6,0.32,14.72,0.64,0.32,1.6,2.56,0,3.84,0.96,0.32,0.32,0.32,10.88,1.92,0,3.52,0,0,0.64,0.32,7.68,0.32,0,0,0.64,0.96,1.28
22Month,0,2.19,0,38.81,0,0,0,2.19,1.64,33.89,2.73,1.09,3.28,2.73,0.55,11.48,1.64,0,0.55,0,0,1.09,0,7.65,0,0.55,0,0,3.83,0,0.55,0,0,0,1.64
