stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,4.09,0,4.09,0,0,4.09,4.09,36.78,0,0,0,0
72hpf,1.07,0,2.14,1.07,0,6.42,21.4,17.12,5.35,0,6.42,1.07
21Day,6.69,1.34,0,0,0,4.02,4.02,0,2.68,1.34,2.68,0
22Month,0,0.55,1.09,0,1.09,1.64,0,0,0,0,0,0
