stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,12.26,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,8.56,2.14,1.07,0,0,0,0,0,0,4.28,0,5.35,0,0,0,486.75,49.21,3.21,8.56,9.63,0,0,23.54,0,0,0,0,0
21Day,9.37,0,0,2.68,0,6.69,0,0,0,1.34,6.69,2.68,6.69,0,13.39,0,0,0,321.25,20.08,5.35,16.06,2.68,16.06,0,13.39,1.34,4.02,1.34,0,1.34
3Month,0,0,0,2.88,0,0,0.32,0.96,7.04,0.32,0,2.56,0.96,0.32,1.28,0.32,0,0.96,1.92,0.32,0.64,2.88,0,0.32,3.84,0.32,0,0,0,10.24,0.32
22Month,0,1.09,0.55,0.55,0,0,0,2.19,33.35,0.55,0.55,3.28,1.64,1.64,4.92,0,0.55,0,0.55,0,0.55,2.19,0,0,2.73,0.55,0,0,0,0,0
