stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,44.95,0,0,0,0,12.26,253.36,0,0,8.17,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,2.14,2.14,0,0,0,0,0,1.07,0,1.07,7.49,0,11.77,0,2.14,1.07,2.14,71.68,50.28,0,0,12.84,0,0,4.28,0,0,0,0
21Day,5.35,0,1.34,4.02,4.02,0,0,0,0,1.34,4.02,2.68,0,1.34,1.34,16.06,0,0,1.34,0,22.76,22.76,0,0,4.02,4.02,0,4.02,1.34,0,0,2.68
3Month,0,0.32,0,4.8,0,0.32,0.32,0.96,7.04,0.32,0,1.28,0.64,1.6,0.32,2.24,0.32,0,0.64,0.32,0,0,0.32,0,0,0.64,2.24,0,0,0.32,55.99,0.64
22Month,0,1.09,0,1.09,0,0,0,0,9.29,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
