stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,13.91,34.23,1.07,0,3.21,0,0,0
21Day,0,2.68,0,1.34,1.34,0,0,0,0,2.68,0,0,12.05,5.35,0,1.34,1.34,0,0,0
3Month,0.64,7.04,0,0,0,0,1.6,0.96,3.2,1.28,0.64,1.28,0.64,0,0,0,0,0.32,0.64,0.32
22Month,0,1.64,0.55,0,0,0.55,0.55,0,0,1.64,0,0,0.55,0,0,0,0,0,0,0
