stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0
3Month,0.32,10.56,0.32,0.64,19.52,2.24,1.92,0,0,6.4,24.96,0.32,0,0,0,0.32,0,0.32,0.64,0,0.32,0.32,0.64,0.32
22Month,0.55,5.47,0.55,0.55,64.51,2.73,6.01,0.55,0,2.19,39.91,0,0.55,0.55,0,0.55,0.55,0.55,0,0.55,0,0,0,0
