stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,16.35,0,0,0,0
72hpf,3.21,0,1.07,1.07,0,1.07,4.28,5.35,0,1.07,0,0
21Day,0,0,0,0,2.68,1.34,0,0,1.34,0,0,0
3Month,0,0.32,0,0,0,0,0,0,0.96,0,3.2,0
22Month,0,0,0,0,0,0,0,0,0,0,0,0.55
