stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.96,0.96,0.96,22.08,1.6,0.32,4.16,6.4,0,44.79,8.32,17.6,1.92,4.48,5.44,6.72,0.64,0.64,3.84,3.84,0.64,0.32,1.6,3.52,0.64,5.12,0.32,21.76,0.64,2.56,1720.37,7.68
22Month,0,0,0,0,0,0,0,2.19,1.09,7.65,0,1.09,0,1.09,0.55,0,0,1.64,0,0,0,0,0.55,0.55,0,0,0,7.11,0,0,2.73,0.55
