stage,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,0,0,1.07,0,25.67,3.21,0
21Day,0,0,0,1.34,4.02,1.34,0
22Month,0.55,0.55,0,0,0,0,0.55
