stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,3.21,0,1.07,1.07,0,0,0
21Day,1.34,0,0,0,0,0,0,1.34,0,0,0,1.34,0,1.34,1.34
3Month,0,0.96,0,0.32,0.32,0,1.6,0,0,0,0,0,0.32,0,0
22Month,0,0,0,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0
